181	1.134	26.0
182	1.054	3.3
183	1.072	6.8
184	1.090	26.3
185	1.124	22.9
186	1.062	36.0
187	1.113	29.4
188	1.117	2.6
189	1.051	17.5
190	1.179	24.7
191	1.114	3.9
192	1.062	55.3
193	1.129	28.5
194	1.197	44.3
195	1.117	13.8
196	1.153	31.3
197	1.054	61.0
198	1.093	22.2
199	1.078	45.1
200	1.151	4.5
201	1.104	8.8
202	1.085	35.9
203	1.093	49.1
204	1.141	7.3
205	1.099	48.7
206	1.038	16.8
207	1.174	47.1
208	1.063	30.6
209	1.119	14.9
210	1.138	44.6
211	1.111	47.9
212	1.097	47.6
213	1.038	3.1
214	1.051	48.5
215	1.061	17.0
216	1.164	47.1
217	1.145	8.3
218	1.074	32.8
219	1.107	9.1
220	1.109	9.2
221	1.135	52.0
222	1.122	28.0
223	1.123	66.4
224	1.078	34.6
225	1.125	42.1
226	1.066	12.1
227	1.144	4.7
228	1.096	4.8
229	1.126	30.1
230	1.135	5.4
231	1.173	47.5
232	1.178	18.2
233	1.142	15.6
234	1.074	43.8
235	1.145	28.9
236	1.049	45.1
237	1.055	64.5
238	1.069	36.5
239	1.078	49.4
240	1.052	21.1
241	1.142	30.6
242	1.128	6.0
243	1.060	17.5
244	1.101	43.0
245	1.120	37.8
246	1.154	38.7
247	1.151	48.4
248	1.118	59.8
249	1.059	19.4
250	1.065	43.5
251	1.154	43.3
252	1.096	40.8
253	1.106	21.9
254	1.091	57.1
255	1.141	20.5
256	1.112	52.9
257	1.131	23.4
258	1.110	22.8
259	1.089	57.6
260	1.095	55.7
261	1.083	34.1
262	1.084	17.9
263	1.111	48.5
264	1.074	17.0
265	1.140	36.0
266	1.175	7.4
267	1.087	26.4
268	1.089	8.0
269	1.145	32.8
270	1.092	44.4
271	1.070	51.7
272	1.127	44.9
273	1.053	30.2
274	1.201	27.6
275	1.144	14.7
276	1.138	46.3
277	1.108	54.9
278	1.140	42.9
279	1.153	6.0
280	1.165	27.6
281	1.102	46.4
282	1.094	50.8
283	1.111	20.5
284	1.062	0.8
285	1.106	28.2
286	1.067	56.3
287	1.111	5.0
288	1.111	21.1
289	1.125	6.2
290	1.245	5.6
291	1.094	17.3
292	1.134	22.2
293	1.143	42.1
294	1.098	51.7
295	1.122	1.8
296	1.097	29.9
297	1.155	28.1
298	1.123	9.4
299	1.089	9.7
300	1.112	21.4
301	1.111	12.0
302	1.139	9.8
303	1.122	48.0
304	1.156	23.1
305	1.117	49.9
306	1.116	0.4
307	1.073	17.1
308	1.138	23.4
309	1.101	14.9
310	1.070	6.0
311	1.109	24.5
312	1.136	24.4
313	1.085	29.5
314	1.140	53.6
315	1.132	18.1
316	1.070	17.1
317	1.115	28.3
318	1.154	47.6
319	1.099	17.8
320	1.087	7.5
321	1.168	20.5
322	1.095	48.9
323	1.097	16.9
324	1.154	51.9
325	1.147	5.0
326	1.082	12.0
327	1.082	33.3
328	1.026	33.2
329	1.106	19.4
330	1.149	35.8
331	1.067	34.8
332	1.033	51.0
333	1.114	34.3
